"dataset","neighborhood","topology","fold","rlen","radius","alpha_start","alpha_end","empty_neurons","qe_test"
"emotions","gaussian","hexagonal",1,500,1.5,0.1,0.005,0,0.542868178635912
"emotions","gaussian","hexagonal",2,500,1.5,0.1,0.005,0,0.559775700050122
"emotions","gaussian","hexagonal",3,500,1.5,0.1,0.005,0,0.535349090598312
"emotions","bubble","hexagonal",1,1000,1.5,0.05,0.005,0,0.458065308425868
"emotions","bubble","hexagonal",2,1000,1.5,0.05,0.005,0,0.509561413332019
"emotions","bubble","hexagonal",3,1000,1.5,0.05,0.005,0,0.478826162425008
"scene","gaussian","hexagonal",1,1000,1.5,0.1,0.01,0,0.434368386814367
"scene","gaussian","hexagonal",2,1000,1.5,0.1,0.01,0,0.426295418001482
"scene","gaussian","hexagonal",3,1000,1.5,0.1,0.01,0,0.426900126270987
"scene","bubble","rectangular",1,500,1.5,0.05,0.005,0,0.361669708956161
"scene","bubble","rectangular",2,500,1.5,0.05,0.005,0,0.369234753566584
"scene","bubble","rectangular",3,500,1.5,0.05,0.005,0,0.386944595708502
